,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mississippi,177000,224000,213000,216000,232000,241000,296000,414000,511000,653000,816000,785000,835000,855000,807000,865000,931000,967000,1014000,1033000,1089000,1120000,1165000,1327000,1436000,1472000,1565000,1694000,1854000,2052000,2264000,2465332,2717652,3003795,3222695,3559055,4054697,4791818,5558565,5851540,6449398,7259947,8341357,9440166,10579931,11467350,12770674,13694683,14675300,15689147,17065073,17880195,18262799,19130733,20091749,21410868,22140147,23092903,24419172,25410693,27084166,28521898,34362582,26897183,29514742,34023468,35443171,37243990,39059409,41082293,46972661,49822437,53605650,56325487,57778537,58683484,56769690,59594925,62092075,77533519,83502663,88378771,94220116,102196981,110535209,127095702,161013777,165210108
Montana,148000,154000,152000,155000,166000,178000,201000,279000,338000,425000,521000,554000,585000,604000,614000,611000,647000,690000,701000,727000,747000,778000,809000,874000,874000,906000,945000,1018000,1082000,1142000,1232000,1311842,1425432,1555139,1661805,1847696,2097324,2421609,2711935,2968265,3319545,3569264,4005766,4457006,4889735,5317193,5732066,6207417,6881000,7138867,7186194,7251185,7276825,7074567,7045578,7330887,7548286,7721777,7930540,7846512,8193619,8670403,9029184,9881934,10137806,10944759,13944996,13780728,13254417,14368508,15630552,16748270,17269521,18739820,20780728,21672583,21942497,26078386,26361203,28380892,29602562,30260215,34305323,37258662,41002903,51350374,63415053,77129222
North Carolina,409000,463000,457000,486000,556000,610000,766000,1026000,1198000,1607000,1891000,1936000,1969000,1929000,1889000,2031000,2263000,2379000,2406000,2523000,2661000,2727000,2710000,2993000,3090000,3299000,3606000,3843000,4028000,4601000,5041000,5600034,6367959,7201050,7537271,8407117,9813055,11813959,13929701,14217727,15162609,15867202,17323545,20555591,23525687,25554563,29131746,32452218,36658500,41125571,48669488,57828407,62597049,66264299,75549059,80244711,79608864,88369496,103972788,117563539,180504087,191424445,433190038,665755758,936934891,981789707,956109000,1000784032,1095395666,1295542856,1700525360,1905752176,2176257295,2340434538,2219462679,1719427008,1714023674,1710267909,1670115652,1819753551,1916881368,1977000204,2030443185,2065810282,2383515137,2846408574,3149431519,3119524117
North Dakota,83000,81000,79000,77000,86000,95000,124000,192000,257000,334000,428000,468000,526000,526000,496000,492000,520000,530000,529000,542000,537000,577000,629000,699000,708000,715000,740000,842000,904000,965000,1044000,1123565,1232283,1378090,1465473,1581190,1782379,1976865,2273540,2527758,2924708,3135917,3476355,3857935,4230149,4627908,5225111,5783955,6355700,6624649,6854969,6931873,6990541,6904558,7011830,7550920,7688710,7898637,8120794,8313593,8034439,8544440,8938048,10833790,11577911,17603356,18699094,18558482,19780067,14381189,15630198,17251807,19137543,20599677,21850491,23174009,25463718,27899711,23066755,22447841,23628972,24816476,26148359,29107052,31916103,39012290,43439859,48458834
Nebraska,335000,362000,337000,337000,365000,391000,431000,665000,857000,1010000,1310000,1287000,1347000,1326000,1305000,1422000,1506000,1588000,1626000,1636000,1603000,1604000,1570000,1785000,1750000,1834000,1955000,2100000,2257000,2436000,2564000,2760119,3113712,3439938,3748325,4045434,4696814,5324208,6250774,6734533,7192546,7701682,8567895,9550346,10501266,10501765,12899108,13965090,14651200,15599544,16196690,16646755,16804283,17470307,18556848,20182067,21405175,22730255,24133335,24339888,26687927,27763637,25855130,27968421,28533699,30099804,30881799,31969699,30205812,30547322,32445972,34984767,37144572,40438142,41005674,48068471,50885939,55411560,57251709,61312346,64791658,67389604,65011236,68443688,73253574,82856500,91697332,97541353
New Hampshire,85000,94000,92000,96000,101000,106000,118000,137000,171000,205000,239000,232000,234000,231000,229000,251000,268000,275000,294000,303000,330000,345000,359000,392000,443000,462000,499000,533000,566000,599000,658000,732562,818464,913371,963649,1195369,1340038,1475300,1629143,1708712,1885739,2110409,2433862,2711194,3023158,3297954,3616092,3985617,4760600,5440059,6516539,7923448,9120625,10457209,10418994,10032160,8464940,7280517,7366496,7568485,10060707,10723601,11686947,16190828,22046163,22352050,25050364,17885398,17047840,17539881,4186748,3855569,3853157,2294113,2568428,2784423,2864026,2681265,2922581,2147034,2278097,2506519,2694520,2574314,2187852,2833301,3302281,3388832
New Jersey,1824000,1961000,1912000,1900000,2037000,2202000,2386000,2773000,3337000,4124000,4846000,4649000,4714000,4747000,4888000,5218000,5472000,5682000,5848000,6047000,6325000,6636000,6835000,7236000,7606000,7977000,8573000,9205000,9539000,10502000,11204000,11891339,13244927,14760523,15496599,16975878,19230518,21548421,23092117,24016722,25110294,26807588,29503816,32197257,34307341,36125620,38232839,42228333,47003000,52331863,59599470,70201886,75694846,84717301,93375644,94183178,95461756,99401515,100111871,87555048,104284897,70030991,79904173,96870897,107881164,100822673,74057341,84559298,94267045,104545836,86843568,60096813,58470653,55641052,62324992,63445727,73622010,60149457,52489376,58811133,64048816,67669865,73156054,89049279,120415468,135694477,143499751,133568568
New Mexico,48000,58000,62000,66000,71000,75000,88000,133000,169000,210000,279000,282000,300000,322000,342000,383000,427000,470000,491000,519000,559000,610000,637000,714000,750000,776000,837000,879000,980000,1004000,1047000,1107006,1218144,1343818,1455423,1708316,2071373,2489397,2827414,3035480,3383914,3698846,4303259,4904741,5422351,6107253,6800554,7766268,8432200,8940158,9374658,9867021,9760594,10167690,10726030,11061413,12141051,12420261,12789960,14172045,14773635,15416462,11307123,15271890,15953975,15363516,15107515,16468522,17898530,12869848,13590122,14732900,16551684,17238774,17540908,17285581,13701494,14402898,15381486,16185269,13425531,13655277,12088134,12219965,11379375,13607929,15586037,16371781
Nevada,28000,33000,37000,38000,45000,51000,57000,83000,105000,127000,164000,172000,176000,174000,177000,191000,216000,240000,263000,299000,313000,332000,357000,402000,445000,482000,540000,627000,681000,725000,777000,813489,956754,1057060,1125192,1286478,1524749,1740717,1958718,1980991,2120304,2372489,2718936,3286806,3631507,3761251,4055412,4584294,4999400,5513759,7567730,9140503,10052596,13332819,17031792,14388178,15059225,14396539,17998426,23355538,26334174,32416415,25811740,27577075,32136921,37718125,34327283,39164263,57930580,54419548,59415442,1069111247,1280702953,1255564690,1194986487,1190610156,37139895,38792641,22182601,20794168,17742587,19676400,20690428,21176392,27344448,37163131,35693222,57678147
New York,15486000,16621000,15554000,16574000,19362000,22803000,23197000,27991000,30054000,34671000,39289000,33579000,34260000,33301000,33871000,36164000,38015000,39054000,38997000,41183000,42634000,43225000,44414000,47681000,47285000,51741000,56684000,59749000,61348000,69088000,75973000,81633712,92922543,101639146,107515826,111236246,116303208,134451999,148030635,169356132,162337316,170495528,194203212,359118531,410911371,461595529,482709088,520011426,534058200,571338598,619632737,666777326,667739970,665892658,677278328,682199287,694827739,700055346,770459166,875062357,922833972,1032229645,1119205261,1145017762,1170267501,1304240281,1351482390,1488691160,1595462417,1010074345,1067455960,394090513,338988940,590640470,484339747,524302195,653733790,720997777,749379213,791505117,880154732,833688446,901389329,932881301,1016289821,1240909126,1481556638,1646394706
Ohio,2183000,2497000,2486000,2549000,2794000,3074000,3482000,4235000,5413000,6541000,7592000,7167000,7400000,7584000,7752000,8391000,8951000,9462000,9884000,10061000,10610000,11023000,11217000,11581000,12145000,12525000,13232000,14187000,14690000,15968000,17506000,18794141,20809895,22570018,23733229,25179994,27339707,31051473,33785616,36186653,37411264,40070154,43277500,49271455,52887998,56268407,59558212,63380522,67208800,72335873,81763276,88738862,94091672,102434152,110030698,113771972,119732683,124661889,132914842,146749960,157797076,172672636,230594711,267360336,309240501,363180117,471089523,553885733,595575919,1525683933,1583424202,1821269106,1953856149,2432916334,2215926735,2244889544,2457902396,2567268246,2655462512,2844644678,2713486729,2953239669,3037172162,3141059134,3320718201,4158435347,4539774779,4469134658
Oklahoma,432000,472000,488000,502000,518000,527000,610000,780000,983000,1254000,1547000,1495000,1628000,1707000,1766000,1861000,2018000,2154000,2215000,2317000,2433000,2511000,2591000,2794000,2847000,2998000,3225000,3348000,3519000,3897000,4265000,4577890,5085581,5412455,5583425,6464781,7330030,8552852,9627339,10734058,11726630,13290285,15101554,16989066,19711282,22837414,27768178,29636063,30671900,32168552,31966137,29279623,27036261,26114591,26277732,26863346,28252023,30431902,30974924,33079951,34532646,36134275,34071184,35636865,39628406,43215155,46059187,47321037,47333846,46513130,51552412,55697243,59366896,64534365,65462093,68185647,78353784,84282806,83011976,85696361,90068860,95606726,100046242,101982598,114164691,129847611,141323773,144456871
Oregon,264000,306000,306000,315000,342000,382000,468000,699000,940000,1166000,1467000,1403000,1450000,1406000,1357000,1510000,1594000,1731000,1754000,1883000,1979000,1982000,1945000,2140000,2193000,2226000,2384000,2562000,2716000,2958000,3251000,3429893,3729907,4256325,4333151,4573619,5122141,5966228,6581979,6890955,7688652,8300191,9714741,11185703,12338646,12957109,13960763,14214830,15612300,16613550,17683826,18909391,18617055,19493598,22131543,22949749,25741158,25823387,27387495,28891775,30437630,22244140,5778250,6293625,7154853,17256730,17385051,17927872,19338921,22995445,25342440,34843750,37048167,34636047,39901948,37459876,34031676,33800537,18848876,31057896,32026108,35002545,30377281,31326046,33621621,35646356,38166316,39357291
Pennsylvania,5020000,5549000,5253000,5385000,5911000,6283000,6671000,7354000,8370000,9705000,11156000,10535000,10937000,10896000,11125000,11947000,12478000,12851000,13050000,13531000,13918000,14411000,14615000,15255000,15460000,16180000,17076000,18109000,19244000,21015000,22640000,24250715,26970756,29797823,31135788,33844309,37335248,43186776,48843881,53534731,55036304,58817221,64865870,78473455,84910397,89470656,97613477,105811974,113332800,122882017,134106615,143212995,147992716,160400128,167760524,172426706,171852828,182884581,190389020,185402117,188412274,243682788,267581326,198351600,195327838,189582472,176180065,177614195,179063365,200018838,241452048,247169714,307516076,257113711,127948947,127700134,128587385,136990517,143029202,156315718,148388043,149182833,165085736,179895099,199122575,235016191,251074019,253173468
Rhode Island,262000,281000,272000,275000,298000,324000,357000,450000,507000,627000,698000,694000,685000,688000,688000,736000,841000,856000,842000,855000,900000,888000,882000,915000,951000,988000,1050000,1089000,1151000,1269000,1398000,1434657,1643965,1759275,1709478,1839664,2050003,2502366,2831495,3657331,3816939,4228764,4733125,5507419,6245267,6969260,8003297,8415907,9523900,7916528,10155191,12199768,13210175,14436037,16585115,14673120,14411956,13323525,13526866,15733137,16968435,6450955,77287156,90522509,102990707,182090364,205511433,198512749,214056008,243539119,27140953,26923920,168716466,169778903,145175930,132668350,129524017,130153271,99848054,108627574,114080419,123612673,128928068,136966226,173762169,192404207,197170927,236270344
South Carolina,138000,161000,152000,153000,173000,199000,233000,329000,405000,524000,647000,686000,701000,699000,689000,711000,840000,891000,900000,904000,921000,938000,959000,1038000,1108000,1148000,1245000,1331000,1388000,1504000,1658000,1796864,1987122,2250057,2436642,2772360,3214481,3699837,4332072,4584435,4831308,5107695,5779497,6281452,6965302,7635141,8695401,10267079,11520100,13047505,14722685,17048718,17929480,20197558,23734280,25217250,25566653,26190436,27691309,31181766,24589341,26352663,17476421,18974170,20760327,23620207,26837928,29232565,33758822,37389626,41072833,37385186,45749244,48280899,48565847,30925936,31678694,36141827,35251117,35353632,26128993,26539396,34445204,35783831,38441637,21679302,47370677,52372282
South Dakota,97000,104000,95000,99000,112000,120000,141000,207000,256000,305000,415000,477000,552000,542000,527000,537000,567000,593000,606000,637000,638000,640000,684000,788000,790000,822000,884000,962000,1021000,1083000,1163000,1231306,1336232,1457486,1591520,1739140,1961415,2229268,2615206,2894750,3243275,3558907,3822005,4215495,4674511,5084075,7992948,8782850,10433900,13273184,16072617,18201999,20530534,22322849,20105570,19108605,17451584,16404273,19184719,24353719,28614678,29333345,30324459,29719486,32014673,37237811,51077907,73138044,84191270,441130586,469817737,497500711,570047124,651472694,744276685,1286310835,2493021260,2623438259,2773770514,2936259241,2960770356,3128961289,3187428361,3153828413,3250052845,3510921574,3501174161,3523192242
Tennessee,491000,569000,556000,591000,644000,718000,893000,1168000,1372000,1699000,2046000,1989000,2059000,2061000,2077000,2205000,2361000,2479000,2621000,2768000,2856000,2975000,3054000,3328000,3523000,3656000,3971000,4253000,4644000,5211000,5623000,6031442,6610395,7215418,7592010,8577940,10015931,12016392,13824122,14552757,15317939,16421590,18126654,20041582,22056184,23803470,26102961,28291691,30188000,32741131,35961670,38921570,41160083,43609353,45697161,47403486,49090971,52849396,57027936,60923698,66595805,75929882,75067593,102551723,90420619,86862987,100110876,110005749,112920984,127741903,77464809,83481877,88806942,92845450,83283831,81106700,79408473,82318945,81321885,86056396,91485147,99123155,126812788,132256103,138739880,198175674,213434958,208384656
Texas,1318000,1494000,1525000,1603000,1773000,1925000,2252000,3081000,3815000,4822000,6096000,5832000,6407000,6637000,7010000,7862000,8491000,9098000,9536000,10249000,10697000,11198000,11309000,12534000,12808000,13502000,14746000,15705000,16688000,18499000,19903000,20979776,23314652,26491152,27552118,30706959,35117176,40859223,46486945,50295281,56422781,63381265,71760004,88907214,102839924,118879453,143225222,163423845,181908100,197881686,209028452,207668912,189565625,170977549,174056338,170822119,168879717,175486441,183952989,188087947,202718074,205183925,235098405,179694197,181144214,166351766,144677067,157396027,136451476,151466940,173165122,181855430,261543682,273427822,316443913,312079484,330016795,362159618,355022593,363521629,364324009,376992042,392708386,399878034,427334428,512358656,569076166,566309855
Utah,154000,164000,168000,178000,184000,199000,228000,337000,407000,480000,585000,584000,593000,599000,602000,632000,699000,745000,777000,845000,881000,910000,914000,988000,1031000,1097000,1158000,1253000,1319000,1409000,1561000,1635533,1721002,1881542,1881235,2095975,2413226,2833039,3144957,3383584,3888740,4293731,5006183,5848038,6333578,6744147,7552640,8230102,8912000,9865937,10232397,11194692,11063051,11168008,12153772,13799158,13850646,14343888,15392334,17143411,19912589,35969456,39601291,45216790,59231313,102924038,131249977,136547131,149339181,151651656,161744906,220908941,282551238,298734514,270861807,287600492,314627128,357544960,386144632,431374061,477547890,481054360,519716675,634758153,660128761,753341633,813928977,878379927
Virginia,584000,654000,635000,674000,726000,795000,943000,1178000,1361000,1699000,1972000,1916000,1947000,1946000,2022000,2189000,2396000,2578000,2608000,2798000,2904000,3078000,3195000,3420000,3526000,3643000,3955000,4256000,4567000,5114000,5635000,5983804,6844651,7674366,8260698,9180957,10495901,12326640,14471117,15396006,15940033,16994111,18882049,20936275,22359331,24194370,26737682,30212442,33901500,37933880,43704786,51263930,56171068,61552344,67696646,69599399,68501915,71267976,74375222,75734307,77780726,89892528,77805144,75000910,80683100,59616987,69893234,84155883,107562248,137330941,168761271,168915617,181336232,391405618,392683793,443046171,474376771,585409888,567467954,594354993,632930875,675045870,678548515,686657673,722789832,785999278,815117012,743306717
Vermont,127000,132000,132000,133000,137000,142000,146000,160000,182000,214000,261000,267000,271000,270000,273000,285000,304000,313000,316000,325000,342000,359000,369000,421000,435000,450000,473000,508000,535000,571000,629000,665486,733340,822910,871312,970450,1095587,1246004,1331706,1374666,1506229,1637867,1844027,2038909,2212491,2401193,2523010,2869705,3247300,3627577,4000670,4651568,4934490,5445313,5834398,6051163,6027443,5578458,5831420,5853789,5967678,6221029,7112669,7602007,7600266,7592481,7906262,6069049,6231759,6569956,6922441,7031901,6653614,3514858,3727487,3845578,4108196,4305647,4177169,3995425,4342075,4540290,2581929,2721406,2839438,3600221,4007662,4208294
Washington,424000,488000,483000,492000,546000,638000,766000,1131000,1528000,1945000,2252000,2063000,2083000,2003000,2000000,2118000,2220000,2339000,2359000,2499000,2598000,2673000,2689000,2868000,2963000,3007000,3241000,3475000,3578000,3876000,4218000,4670633,5259829,5759395,5973027,6800824,7305233,8294272,9645719,10943085,11763003,12993499,15054230,18930368,21349876,23638016,25710710,26333958,26260300,29024787,31445106,33115606,33078239,33582040,38553538,39742208,39638644,40826252,41435949,44847283,49088588,44645578,11646803,12683519,13304699,19400311,21858096,24502320,26317965,26322034,38165372,44797299,52326380,55566720,51238225,42646786,40295840,41279593,59717461,52496481,54547326,63340796,69309673,72321113,75643874,90818163,106076266,107644155
Wisconsin,841000,957000,953000,987000,1059000,1142000,1261000,1559000,2014000,2494000,2986000,2985000,3084000,3123000,3143000,3304000,3485000,3711000,3791000,3926000,3987000,4164000,4307000,4705000,4832000,5051000,5420000,5636000,5996000,6545000,7011000,7639525,8535889,9337877,9879527,10903547,12198094,13847395,15110466,16236899,17377079,19022003,21448935,23880062,25827944,26800718,28414892,30449781,33073100,35863721,37687271,40842463,40518744,42482550,44800452,47507487,49041787,52104690,54241279,57817318,61381126,65690159,72479238,81705972,74226842,78813004,82424878,81115587,88449200,95027942,108135539,120760895,131202532,136816257,132201429,128727481,79016687,81710232,82450895,86834732,90364971,93746804,97963823,104340674,106479204,118961927,129741601,135626583
West Virginia,288000,323000,326000,322000,342000,365000,411000,484000,591000,784000,943000,915000,972000,1021000,976000,1027000,1104000,1124000,1157000,1160000,1200000,1263000,1318000,1355000,1402000,1438000,1513000,1582000,1687000,1849000,2026000,2188611,2421353,2626221,2876012,3353665,3820237,4467627,5171362,6020281,6503193,7252811,8129471,8617368,9484209,10315223,11253160,11950661,12603700,13351624,13935228,14866131,15242125,16091574,16660929,17444873,18564097,19361910,19880100,20238748,21357607,22267293,21597843,23540199,23084594,17455197,18115533,19246335,17802260,18980939,20119822,20331767,22111775,24170590,24482937,24492063,25580704,26614150,27579397,28579475,31401070,34110468,28602411,31472825,35452200,38964574,40604062,41458376
Wyoming,65000,72000,72000,73000,79000,87000,96000,121000,146000,179000,222000,241000,254000,272000,272000,289000,325000,334000,341000,357000,359000,373000,394000,433000,442000,462000,499000,518000,560000,598000,617000,657972,706806,784035,827460,910894,1043452,1234716,1428546,1620113,1856884,2099297,2425007,2711701,3082501,3449800,3789169,4107922,4297900,4534251,4543743,4380569,4204883,4202408,4352093,4649474,4825006,5037085,5154314,6623939,8348616,8183586,8309810,10146147,7491035,7489522,7034039,7072786,5182509,5295608,5770493,6612710,7335867,6189065,6609832,6981825,7391220,6688977,6426690,6893232,7290930,7665135,7817304,8250587,8729633,10364324,11220263,9161304
